agegp,yearc,st,N_cases
Age 65+,2016,15A,60
Age 65+,2016,15B,23
Age 65+,2016,15C,12
Age 65+,2016,16F,39
Age 65+,2016,17F,16
Age 65+,2016,19A,40
Age 65+,2016,19F,17
Age 65+,2016,20,25
Age 65+,2016,22F,131
Age 65+,2016,23A,59
Age 65+,2016,23B,32
Age 65+,2016,23F,1
Age 65+,2016,24F,4
Age 65+,2016,28A,3
Age 65+,2016,3,162
Age 65+,2016,31,22
Age 65+,2016,33F,54
Age 65+,2016,34,16
Age 65+,2016,35B,54
Age 65+,2016,35D,2
Age 65+,2016,35F,17
Age 65+,2016,37,2
Age 65+,2016,38,18
Age 65+,2016,4,7
Age 65+,2016,6A,1
Age 65+,2016,6B,2
Age 65+,2016,6C,37
Age 65+,2016,6D,1
Age 65+,2016,7C,27
Age 65+,2016,7F,6
Age 65+,2016,8,29
Age 65+,2016,9N,42
Age 65+,2016,9V,1
Age 65+,2016,MISS,121
Age <2,2017,10A,4
Age <2,2017,10F,1
Age <2,2017,11A,1
Age <2,2017,12F,2
Age <2,2017,15A,2
Age <2,2017,15B,1
Age <2,2017,15C,3
Age <2,2017,19A,2
Age <2,2017,19F,5
Age <2,2017,21,2
Age <2,2017,22F,5
Age <2,2017,23A,1
Age <2,2017,23B,5
Age <2,2017,24F,1
Age <2,2017,3,10
Age <2,2017,31,1
Age <2,2017,33F,9
Age <2,2017,34,1
Age <2,2017,35B,5
Age <2,2017,38,6
Age <2,2017,7C,2
Age <2,2017,9N,2
Age <2,2017,MISS,11
Age <2,2017,NT,1
Age 2-4,2017,11A,1
Age 2-4,2017,15A,2
Age 2-4,2017,15B,4
Age 2-4,2017,15C,5
Age 2-4,2017,16F,2
Age 2-4,2017,18C,1
Age 2-4,2017,19A,8
Age 2-4,2017,19F,4
Age 2-4,2017,20,2
Age 2-4,2017,21,1
Age 2-4,2017,22F,5
Age 2-4,2017,23B,8
Age 2-4,2017,24B,1
Age 2-4,2017,3,2
Age 2-4,2017,31,1
Age 2-4,2017,33F,1
Age 2-4,2017,34,3
Age 2-4,2017,35B,1
Age 2-4,2017,38,2
Age 2-4,2017,7C,1
Age 2-4,2017,9N,1
Age 2-4,2017,MISS,10
Age 5-17,2017,10A,2
Age 5-17,2017,11A,2
Age 5-17,2017,12F,4
Age 5-17,2017,15A,3
Age 5-17,2017,15B,1
Age 5-17,2017,15C,2
Age 5-17,2017,16F,3
Age 5-17,2017,17F,1
Age 5-17,2017,19A,10
Age 5-17,2017,19F,11
Age 5-17,2017,20,1
Age 5-17,2017,21,4
Age 5-17,2017,22F,7
Age 5-17,2017,23A,5
Age 5-17,2017,23B,5
Age 5-17,2017,3,8
Age 5-17,2017,35B,5
Age 5-17,2017,38,2
Age 5-17,2017,6C,1
Age 5-17,2017,7C,3
Age 5-17,2017,7F,1
Age 5-17,2017,8,2
Age 5-17,2017,9N,1
Age 5-17,2017,MISS,2
Age 18-49,2017,10A,13
Age 18-49,2017,11A,26
Age 18-49,2017,12F,30
Age 18-49,2017,13,1
Age 18-49,2017,15A,10
Age 18-49,2017,15B,11
Age 18-49,2017,15C,6
Age 18-49,2017,16F,12
Age 18-49,2017,17F,6
Age 18-49,2017,19A,15
Age 18-49,2017,19F,14
Age 18-49,2017,20,25
Age 18-49,2017,21,1
Age 18-49,2017,22F,54
Age 18-49,2017,23A,25
Age 18-49,2017,23B,19
Age 18-49,2017,3,62
Age 18-49,2017,31,7
Age 18-49,2017,33F,20
Age 18-49,2017,34,4
Age 18-49,2017,35B,14
Age 18-49,2017,35F,6
Age 18-49,2017,38,6
Age 18-49,2017,4,28
Age 18-49,2017,6C,15
Age 18-49,2017,7C,12
Age 18-49,2017,7F,17
Age 18-49,2017,8,42
Age 18-49,2017,9N,35
Age 18-49,2017,9V,1
Age 18-49,2017,MISS,76
Age 18-49,2017,NT,1
Age 50-64,2017,10A,20
Age 50-64,2017,10F,1
Age 50-64,2017,11A,46
Age 50-64,2017,12F,49
Age 50-64,2017,14,1
Age 50-64,2017,15A,36
Age 50-64,2017,15B,11
Age 50-64,2017,15C,7
Age 50-64,2017,16F,31
Age 50-64,2017,17F,16
Age 50-64,2017,18A,1
Age 50-64,2017,18C,2
Age 50-64,2017,19A,37
Age 50-64,2017,19F,26
Age 50-64,2017,20,36
Age 50-64,2017,21,4
Age 50-64,2017,22F,93
Age 50-64,2017,23A,43
Age 50-64,2017,23B,24
Age 50-64,2017,23F,1
Age 50-64,2017,24F,1
Age 50-64,2017,28A,1
Age 50-64,2017,3,157
Age 50-64,2017,31,16
Age 50-64,2017,33F,31
Age 50-64,2017,34,16
Age 50-64,2017,35B,37
Age 50-64,2017,35D,1
Age 50-64,2017,35F,19
Age 50-64,2017,38,16
Age 50-64,2017,4,28
Age 50-64,2017,5,1
Age 50-64,2017,6A,1
Age 50-64,2017,6B,3
Age 50-64,2017,6C,22
Age 50-64,2017,7C,20
Age 50-64,2017,7F,21
Age 50-64,2017,8,61
Age 50-64,2017,9L,1
Age 50-64,2017,9N,65
Age 50-64,2017,9V,6
Age 50-64,2017,MISS,108
Age 65+,2017,10A,21
Age 65+,2017,10F,1
Age 65+,2017,11A,51
Age 65+,2017,12F,25
Age 65+,2017,13,1
Age 65+,2017,14,3
Age 65+,2017,15A,62
Age 65+,2017,15B,26
Age 65+,2017,15C,18
Age 65+,2017,16F,44
Age 65+,2017,17F,13
Age 65+,2017,19A,35
Age 65+,2017,19F,32
Age 65+,2017,20,31
Age 65+,2017,21,2
Age 65+,2017,22F,110
Age 65+,2017,23A,69
Age 65+,2017,23B,34
Age 65+,2017,23F,1
Age 65+,2017,24A,1
Age 65+,2017,24F,5
Age 65+,2017,28A,3
Age 65+,2017,3,183
Age 65+,2017,31,37
Age 65+,2017,33F,43
Age 65+,2017,34,14
Age 65+,2017,35B,82
Age 65+,2017,35D,1
Age 65+,2017,35F,25
Age 65+,2017,37,2
Age 65+,2017,38,28
Age 65+,2017,4,8
Age 65+,2017,6A,2
Age 65+,2017,6B,3
Age 65+,2017,6C,37
Age 65+,2017,6D,1
Age 65+,2017,7C,28
Age 65+,2017,7F,7
Age 65+,2017,8,38
Age 65+,2017,9L,1
Age 65+,2017,9N,46
Age 65+,2017,9V,1
Age 65+,2017,MISS,114
Age 65+,2017,NT,2
Age <2,2018,10A,5
Age <2,2018,11A,2
Age <2,2018,15A,4
Age <2,2018,15B,5
Age <2,2018,15C,7
Age <2,2018,16F,4
Age <2,2018,17F,1
Age <2,2018,19A,2
Age <2,2018,19F,5
Age <2,2018,21,3
Age <2,2018,22F,7
Age <2,2018,23A,1
Age <2,2018,23B,4
Age <2,2018,3,6
Age <2,2018,31,1
Age <2,2018,33F,9
Age <2,2018,34,1
Age <2,2018,35B,3
Age <2,2018,35F,2
Age <2,2018,38,2
Age <2,2018,7C,6
Age <2,2018,8,1
Age <2,2018,9N,2
Age <2,2018,MISS,10
Age 2-4,2018,10A,1
Age 2-4,2018,11A,2
Age 2-4,2018,12F,2
Age 2-4,2018,15A,2
Age 2-4,2018,15B,4
Age 2-4,2018,15C,5
Age 2-4,2018,16F,1
Age 2-4,2018,18C,1
Age 2-4,2018,19A,1
Age 2-4,2018,19F,3
Age 2-4,2018,21,2
Age 2-4,2018,22F,2
Age 2-4,2018,23A,1
Age 2-4,2018,23B,6
Age 2-4,2018,3,7
Age 2-4,2018,33A,1
Age 2-4,2018,33F,4
Age 2-4,2018,35F,1
Age 2-4,2018,38,2
Age 2-4,2018,6C,2
Age 2-4,2018,MISS,4
Age 5-17,2018,10A,1
Age 5-17,2018,12F,1
Age 5-17,2018,13,1
Age 5-17,2018,15A,1
Age 5-17,2018,15B,1
Age 5-17,2018,15C,4
Age 5-17,2018,16F,4
Age 5-17,2018,19A,5
Age 5-17,2018,19F,11
Age 5-17,2018,20,1
Age 5-17,2018,21,3
Age 5-17,2018,22F,13
Age 5-17,2018,23A,2
Age 5-17,2018,23B,3
Age 5-17,2018,24F,1
Age 5-17,2018,3,13
Age 5-17,2018,33F,2
Age 5-17,2018,34,1
Age 5-17,2018,35B,4
Age 5-17,2018,4,1
Age 5-17,2018,6C,2
Age 5-17,2018,7C,2
Age 5-17,2018,7F,1
Age 5-17,2018,8,3
Age 5-17,2018,9N,2
Age 5-17,2018,MISS,13
Age 18-49,2018,1,1
Age 18-49,2018,10A,12
Age 18-49,2018,11A,16
Age 18-49,2018,12F,31
Age 18-49,2018,13,3
Age 18-49,2018,14,1
Age 18-49,2018,15A,22
Age 18-49,2018,15B,4
Age 18-49,2018,15C,6
Age 18-49,2018,16F,19
Age 18-49,2018,17F,9
Age 18-49,2018,19A,25
Age 18-49,2018,19F,19
Age 18-49,2018,20,27
Age 18-49,2018,21,1
Age 18-49,2018,22F,55
Age 18-49,2018,23A,16
Age 18-49,2018,23B,21
Age 18-49,2018,24F,1
Age 18-49,2018,3,63
Age 18-49,2018,31,4
Age 18-49,2018,33F,23
Age 18-49,2018,34,7
Age 18-49,2018,35B,17
Age 18-49,2018,35F,5
Age 18-49,2018,37,1
Age 18-49,2018,38,5
Age 18-49,2018,4,62
Age 18-49,2018,6A,1
Age 18-49,2018,6B,1
Age 18-49,2018,6C,17
Age 18-49,2018,7C,8
Age 18-49,2018,7F,11
Age 18-49,2018,8,36
Age 18-49,2018,9N,60
Age 18-49,2018,9V,1
Age 18-49,2018,MISS,91
Age 50-64,2018,10A,17
Age 50-64,2018,11A,39
Age 50-64,2018,12F,48
Age 50-64,2018,13,3
Age 50-64,2018,14,1
Age 50-64,2018,15A,42
Age 50-64,2018,15B,6
Age 50-64,2018,15C,9
Age 50-64,2018,16F,37
Age 50-64,2018,17F,14
Age 50-64,2018,19A,29
Age 50-64,2018,19F,28
Age 50-64,2018,20,49
Age 50-64,2018,21,2
Age 50-64,2018,22F,104
Age 50-64,2018,23A,45
Age 50-64,2018,23B,29
Age 50-64,2018,24F,1
Age 50-64,2018,28A,2
Age 50-64,2018,3,161
Age 50-64,2018,31,20
Age 50-64,2018,33F,25
Age 50-64,2018,34,13
Age 50-64,2018,35B,30
Age 50-64,2018,35D,2
Age 50-64,2018,35F,11
Age 50-64,2018,37,1
Age 50-64,2018,38,10
Age 50-64,2018,4,33
Age 50-64,2018,6A,1
Age 50-64,2018,6B,3
Age 50-64,2018,6C,20
Age 50-64,2018,7C,13
Age 50-64,2018,7F,18
Age 50-64,2018,8,43
Age 50-64,2018,9L,1
Age 50-64,2018,9N,76
Age 50-64,2018,9V,3
Age 50-64,2018,MISS,117
Age 50-64,2018,NT,4
Age 65+,2018,10A,14
Age 65+,2018,10F,2
Age 65+,2018,11A,48
Age 65+,2018,12F,16
Age 65+,2018,13,1
Age 65+,2018,14,2
Age 65+,2018,15A,71
Age 65+,2018,15B,17
Age 65+,2018,15C,13
Age 65+,2018,15D,1
Age 65+,2018,16F,57
Age 65+,2018,17F,10
Age 65+,2018,19A,23
Age 65+,2018,19F,25
Age 65+,2018,20,23
Age 65+,2018,21,2
Age 65+,2018,22F,118
Age 65+,2018,23A,63
Age 65+,2018,23B,31
Age 65+,2018,24F,1
Age 65+,2018,28A,3
Age 65+,2018,3,179
Age 65+,2018,31,31
Age 65+,2018,33F,51
Age 65+,2018,34,26
Age 65+,2018,35B,56
Age 65+,2018,35D,2
Age 65+,2018,35F,12
Age 65+,2018,37,2
Age 65+,2018,38,13
Age 65+,2018,4,10
Age 65+,2018,6A,1
Age 65+,2018,6B,1
Age 65+,2018,6C,48
Age 65+,2018,7C,28
Age 65+,2018,7F,6
Age 65+,2018,8,37
Age 65+,2018,9N,54
Age 65+,2018,MISS,140
Age 65+,2018,NT,3
Age <2,2019,10A,5
Age <2,2019,11A,2
Age <2,2019,15A,3
Age <2,2019,15B,4
Age <2,2019,15C,5
Age <2,2019,16F,4
Age <2,2019,19A,2
Age <2,2019,19F,9
Age <2,2019,21,1
Age <2,2019,22F,6
Age <2,2019,23A,1
Age <2,2019,23B,5
Age <2,2019,3,7
Age <2,2019,31,1
Age <2,2019,33F,11
Age <2,2019,34,1
Age <2,2019,35B,10
Age <2,2019,35F,2
Age <2,2019,38,4
Age <2,2019,8,2
Age <2,2019,MISS,11
Age <2,2019,NT,1
Age 2-4,2019,11A,1
Age 2-4,2019,12F,2
Age 2-4,2019,15A,2
Age 2-4,2019,15B,2
Age 2-4,2019,15C,3
Age 2-4,2019,16F,3
Age 2-4,2019,18C,1
Age 2-4,2019,19A,3
Age 2-4,2019,19F,2
Age 2-4,2019,21,1
Age 2-4,2019,22F,5
Age 2-4,2019,23A,5
Age 2-4,2019,23B,5
Age 2-4,2019,3,7
Age 2-4,2019,33F,2
Age 2-4,2019,35B,4
Age 2-4,2019,35D,1
Age 2-4,2019,35F,2
Age 2-4,2019,MISS,4
Age 5-17,2019,10A,1
Age 5-17,2019,11A,2
Age 5-17,2019,15A,2
Age 5-17,2019,15B,4
Age 5-17,2019,15C,3
Age 5-17,2019,16F,2
Age 5-17,2019,17F,1
Age 5-17,2019,19A,6
Age 5-17,2019,19F,3
Age 5-17,2019,20,1
Age 5-17,2019,22F,7
Age 5-17,2019,23A,1
Age 5-17,2019,23B,6
Age 5-17,2019,3,8
Age 5-17,2019,33F,1
Age 5-17,2019,35B,4
Age 5-17,2019,38,1
Age 5-17,2019,6C,3
Age 5-17,2019,7C,2
Age 5-17,2019,8,6
Age 5-17,2019,9N,2
Age 5-17,2019,MISS,13
Age 18-49,2019,1,1
Age 18-49,2019,10A,12
Age 18-49,2019,10F,1
Age 18-49,2019,11A,13
Age 18-49,2019,12F,32
Age 18-49,2019,13,3
Age 18-49,2019,15A,14
Age 18-49,2019,15B,6
Age 18-49,2019,15C,3
Age 18-49,2019,15F,1
Age 18-49,2019,16F,15
Age 18-49,2019,17F,10
Age 18-49,2019,19A,15
Age 18-49,2019,19F,24
Age 18-49,2019,20,30
Age 18-49,2019,22F,49
Age 18-49,2019,23A,27
Age 18-49,2019,23B,19
Age 18-49,2019,28A,4
Age 18-49,2019,3,84
Age 18-49,2019,31,13
Age 18-49,2019,33A,1
Age 18-49,2019,33F,17
Age 18-49,2019,34,8
Age 18-49,2019,35B,17
Age 18-49,2019,35F,6
Age 18-49,2019,37,1
Age 18-49,2019,38,3
Age 18-49,2019,4,35
Age 18-49,2019,6C,13
Age 18-49,2019,7C,10
Age 18-49,2019,7F,6
Age 18-49,2019,8,43
Age 18-49,2019,9N,47
Age 18-49,2019,MISS,84
Age 50-64,2019,10A,18
Age 50-64,2019,11A,33
Age 50-64,2019,12F,41
Age 50-64,2019,13,1
Age 50-64,2019,15A,40
Age 50-64,2019,15B,14
Age 50-64,2019,15C,11
Age 50-64,2019,16F,40
Age 50-64,2019,17F,10
Age 50-64,2019,18A,1
Age 50-64,2019,19A,30
Age 50-64,2019,19F,30
Age 50-64,2019,20,42
Age 50-64,2019,21,2
Age 50-64,2019,22F,89
Age 50-64,2019,23A,40
Age 50-64,2019,23B,39
Age 50-64,2019,28A,4
Age 50-64,2019,3,135
Age 50-64,2019,31,19
Age 50-64,2019,33F,35
Age 50-64,2019,34,13
Age 50-64,2019,35B,33
Age 50-64,2019,35D,1
Age 50-64,2019,35F,11
Age 50-64,2019,37,1
Age 50-64,2019,38,5
Age 50-64,2019,4,34
Age 50-64,2019,6A,2
Age 50-64,2019,6C,21
Age 50-64,2019,7C,13
Age 50-64,2019,7F,6
Age 50-64,2019,8,49
Age 50-64,2019,9L,1
Age 50-64,2019,9N,63
Age 50-64,2019,MISS,117
Age 50-64,2019,NT,5
Age 65+,2019,10A,19
Age 65+,2019,10F,2
Age 65+,2019,11A,48
Age 65+,2019,12F,28
Age 65+,2019,13,1
Age 65+,2019,14,2
Age 65+,2019,15A,65
Age 65+,2019,15B,18
Age 65+,2019,15C,15
Age 65+,2019,16F,53
Age 65+,2019,17F,13
Age 65+,2019,18B,2
Age 65+,2019,18C,1
Age 65+,2019,19A,30
Age 65+,2019,19F,34
Age 65+,2019,20,25
Age 65+,2019,21,4
Age 65+,2019,22F,118
Age 65+,2019,23A,65
Age 65+,2019,23B,30
Age 65+,2019,24F,1
Age 65+,2019,28A,4
Age 65+,2019,3,197
Age 65+,2019,31,37
Age 65+,2019,33F,54
Age 65+,2019,34,12
Age 65+,2019,35B,76
Age 65+,2019,35D,3
Age 65+,2019,35F,20
Age 65+,2019,37,1
Age 65+,2019,38,11
Age 65+,2019,4,7
Age 65+,2019,45,1
Age 65+,2019,6A,2
Age 65+,2019,6B,3
Age 65+,2019,6C,26
Age 65+,2019,7C,21
Age 65+,2019,7F,5
Age 65+,2019,8,29
Age 65+,2019,9N,46
Age 65+,2019,9V,2
Age 65+,2019,MISS,132
Age 65+,2019,NT,2
Age <2,2020,10A,1
Age <2,2020,15A,3
Age <2,2020,15C,6
Age <2,2020,17F,1
Age <2,2020,19F,1
Age <2,2020,22F,6
Age <2,2020,23A,2
Age <2,2020,23B,1
Age <2,2020,3,2
Age <2,2020,33F,3
Age <2,2020,35B,4
Age <2,2020,35D,2
Age <2,2020,7C,1
Age <2,2020,8,3
Age <2,2020,MISS,5
Age <2,2020,NT,1
Age 2-4,2020,10A,1
Age 2-4,2020,15A,3
Age 2-4,2020,15B,1
Age 2-4,2020,15C,4
Age 2-4,2020,19A,1
Age 2-4,2020,19F,1
Age 2-4,2020,22F,2
Age 2-4,2020,23A,2
Age 2-4,2020,23B,5
Age 2-4,2020,3,1
Age 2-4,2020,33F,1
Age 2-4,2020,7C,1
Age 5-17,2020,10A,1
Age 5-17,2020,11A,1
Age 5-17,2020,15C,2
Age 5-17,2020,16F,1
Age 5-17,2020,17F,1
Age 5-17,2020,19A,1
Age 5-17,2020,19F,3
Age 5-17,2020,23B,2
Age 5-17,2020,3,3
Age 5-17,2020,33F,1
Age 5-17,2020,34,2
Age 5-17,2020,35B,2
Age 5-17,2020,35F,1
Age 5-17,2020,7F,1
Age 5-17,2020,8,1
Age 5-17,2020,9N,1
Age 5-17,2020,MISS,5
Age 18-49,2020,10A,2
Age 18-49,2020,10F,1
Age 18-49,2020,11A,21
Age 18-49,2020,12F,30
Age 18-49,2020,13,1
Age 18-49,2020,15A,6
Age 18-49,2020,15B,5
Age 18-49,2020,15C,6
Age 18-49,2020,16F,5
Age 18-49,2020,17F,3
Age 18-49,2020,19A,5
Age 18-49,2020,19F,15
Age 18-49,2020,20,25
Age 18-49,2020,21,2
Age 18-49,2020,22F,34
Age 18-49,2020,23A,18
Age 18-49,2020,23B,12
Age 18-49,2020,24F,1
Age 18-49,2020,3,47
Age 18-49,2020,31,7
Age 18-49,2020,33F,15
Age 18-49,2020,34,3
Age 18-49,2020,35B,7
Age 18-49,2020,35F,5
Age 18-49,2020,37,1
Age 18-49,2020,38,1
Age 18-49,2020,4,41
Age 18-49,2020,6C,3
Age 18-49,2020,7C,9
Age 18-49,2020,7F,7
Age 18-49,2020,8,13
Age 18-49,2020,9N,41
Age 18-49,2020,9V,1
Age 18-49,2020,MISS,69
Age 18-49,2020,NT,1
Age 50-64,2020,10A,9
Age 50-64,2020,10F,1
Age 50-64,2020,11A,21
Age 50-64,2020,12F,25
Age 50-64,2020,13,2
Age 50-64,2020,15A,26
Age 50-64,2020,15B,9
Age 50-64,2020,15C,3
Age 50-64,2020,16F,32
Age 50-64,2020,17F,8
Age 50-64,2020,19A,15
Age 50-64,2020,19F,13
Age 50-64,2020,20,25
Age 50-64,2020,21,2
Age 50-64,2020,22F,50
Age 50-64,2020,23A,31
Age 50-64,2020,23B,15
Age 50-64,2020,27,1
Age 50-64,2020,28A,2
Age 50-64,2020,3,78
Age 50-64,2020,31,9
Age 50-64,2020,33F,13
Age 50-64,2020,34,4
Age 50-64,2020,35B,29
Age 50-64,2020,35D,2
Age 50-64,2020,35F,7
Age 50-64,2020,38,5
Age 50-64,2020,4,30
Age 50-64,2020,6B,2
Age 50-64,2020,6C,12
Age 50-64,2020,7C,13
Age 50-64,2020,7F,4
Age 50-64,2020,8,20
Age 50-64,2020,9N,43
Age 50-64,2020,9V,1
Age 50-64,2020,MISS,98
Age 65+,2020,10A,16
Age 65+,2020,11A,26
Age 65+,2020,12F,6
Age 65+,2020,13,1
Age 65+,2020,14,3
Age 65+,2020,15A,26
Age 65+,2020,15B,11
Age 65+,2020,15C,9
Age 65+,2020,16F,22
Age 65+,2020,17F,3
Age 65+,2020,19A,18
Age 65+,2020,19F,15
Age 65+,2020,20,15
Age 65+,2020,21,1
Age 65+,2020,22F,58
Age 65+,2020,23A,23
Age 65+,2020,23B,12
Age 65+,2020,23F,1
Age 65+,2020,24F,1
Age 65+,2020,28A,1
Age 65+,2020,3,106
Age 65+,2020,31,12
Age 65+,2020,33F,22
Age 65+,2020,34,9
Age 65+,2020,35B,29
Age 65+,2020,35F,10
Age 65+,2020,37,1
Age 65+,2020,38,3
Age 65+,2020,4,7
Age 65+,2020,6C,12
Age 65+,2020,7C,14
Age 65+,2020,7F,4
Age 65+,2020,8,11
Age 65+,2020,9N,32
Age 65+,2020,9V,1
Age 65+,2020,MISS,121
Age 65+,2020,NT,3
Age <2,2021,10A,1
Age <2,2021,11A,1
Age <2,2021,13,2
Age <2,2021,15A,9
Age <2,2021,15B,4
Age <2,2021,15C,5
Age <2,2021,16F,1
Age <2,2021,19A,2
Age <2,2021,19F,7
Age <2,2021,21,3
Age <2,2021,22F,1
Age <2,2021,23A,2
Age <2,2021,23B,2
Age <2,2021,3,1
Age <2,2021,33F,6
Age <2,2021,35B,1
Age <2,2021,35F,2
Age <2,2021,7C,1
Age <2,2021,8,1
Age <2,2021,9N,4
Age <2,2021,MISS,7
Age <2,2021,NT,1
Age 2-4,2021,10A,2
Age 2-4,2021,11A,2
Age 2-4,2021,15B,1
Age 2-4,2021,15C,2
Age 2-4,2021,16F,2
Age 2-4,2021,19A,1
Age 2-4,2021,19F,4
Age 2-4,2021,22F,1
Age 2-4,2021,23A,1
Age 2-4,2021,23B,4
Age 2-4,2021,3,2
Age 2-4,2021,33F,1
Age 2-4,2021,35F,1
Age 2-4,2021,4,1
Age 2-4,2021,8,1
Age 2-4,2021,MISS,7
Age 2-4,2021,NT,1
Age 5-17,2021,11A,2
Age 5-17,2021,15A,1
Age 5-17,2021,16F,1
Age 5-17,2021,19F,3
Age 5-17,2021,22F,3
Age 5-17,2021,23A,3
Age 5-17,2021,23B,2
Age 5-17,2021,23F,1
Age 5-17,2021,3,3
Age 5-17,2021,35B,1
Age 5-17,2021,35F,1
Age 5-17,2021,8,2
Age 5-17,2021,MISS,8
Age 18-49,2021,10A,7
Age 18-49,2021,11A,4
Age 18-49,2021,12F,25
Age 18-49,2021,14,1
Age 18-49,2021,15A,14
Age 18-49,2021,15B,7
Age 18-49,2021,15C,4
Age 18-49,2021,16F,9
Age 18-49,2021,17F,5
Age 18-49,2021,19A,6
Age 18-49,2021,19F,19
Age 18-49,2021,20,21
Age 18-49,2021,21,2
Age 18-49,2021,22F,25
Age 18-49,2021,23A,14
Age 18-49,2021,23B,6
Age 18-49,2021,28A,1
Age 18-49,2021,3,38
Age 18-49,2021,31,2
Age 18-49,2021,33F,10
Age 18-49,2021,34,4
Age 18-49,2021,35B,14
Age 18-49,2021,35D,1
Age 18-49,2021,35F,5
Age 18-49,2021,4,52
Age 18-49,2021,6C,10
Age 18-49,2021,7C,10
Age 18-49,2021,8,12
Age 18-49,2021,9N,34
Age 18-49,2021,9V,2
Age 18-49,2021,MISS,95
Age 50-64,2021,10A,9
Age 50-64,2021,10F,3
Age 50-64,2021,11A,20
Age 50-64,2021,12F,18
Age 50-64,2021,13,4
Age 50-64,2021,15A,14
Age 50-64,2021,15B,8
Age 50-64,2021,15C,3
Age 50-64,2021,16F,22
Age 50-64,2021,17F,5
Age 50-64,2021,18C,1
Age 50-64,2021,19A,9
Age 50-64,2021,19B,1
Age 50-64,2021,19F,20
Age 50-64,2021,20,31
Age 50-64,2021,21,1
Age 50-64,2021,22F,27
Age 50-64,2021,23A,23
Age 50-64,2021,23B,23
Age 50-64,2021,28A,2
Age 50-64,2021,3,79
Age 50-64,2021,31,8
Age 50-64,2021,33B,1
Age 50-64,2021,33F,11
Age 50-64,2021,34,4
Age 50-64,2021,35B,25
Age 50-64,2021,35F,8
Age 50-64,2021,38,1
Age 50-64,2021,4,27
Age 50-64,2021,6A,1
Age 50-64,2021,6B,1
Age 50-64,2021,6C,10
Age 50-64,2021,7C,14
Age 50-64,2021,7F,2
Age 50-64,2021,8,16
Age 50-64,2021,9N,47
Age 50-64,2021,9V,2
Age 50-64,2021,MISS,161
Age 50-64,2021,NT,3
Age 65+,2021,10A,5
Age 65+,2021,11A,15
Age 65+,2021,12F,7
Age 65+,2021,13,3
Age 65+,2021,15A,35
Age 65+,2021,15B,11
Age 65+,2021,15C,4
Age 65+,2021,15F,1
Age 65+,2021,16F,23
Age 65+,2021,17F,2
Age 65+,2021,18C,2
Age 65+,2021,19A,11
Age 65+,2021,19F,14
Age 65+,2021,20,12
Age 65+,2021,21,1
Age 65+,2021,22F,40
Age 65+,2021,23A,39
Age 65+,2021,23B,13
Age 65+,2021,28A,3
Age 65+,2021,3,64
Age 65+,2021,31,12
Age 65+,2021,33F,15
Age 65+,2021,34,7
Age 65+,2021,35B,43
Age 65+,2021,35F,16
Age 65+,2021,4,8
Age 65+,2021,6B,2
Age 65+,2021,6C,8
Age 65+,2021,7C,13
Age 65+,2021,7F,1
Age 65+,2021,8,8
Age 65+,2021,9N,36
Age 65+,2021,MISS,127
Age <2,2022,10A,4
Age <2,2022,11A,1
Age <2,2022,15A,4
Age <2,2022,15B,1
Age <2,2022,15C,5
Age <2,2022,16F,2
Age <2,2022,19F,9
Age <2,2022,21,1
Age <2,2022,22A,1
Age <2,2022,22F,3
Age <2,2022,23A,2
Age <2,2022,23B,2
Age <2,2022,28A,1
Age <2,2022,3,6
Age <2,2022,33F,3
Age <2,2022,35B,3
Age <2,2022,35F,2
Age <2,2022,37,1
Age <2,2022,7C,2
Age <2,2022,8,1
Age <2,2022,MISS,17
Age 2-4,2022,10A,1
Age 2-4,2022,11A,4
Age 2-4,2022,12F,1
Age 2-4,2022,15A,3
Age 2-4,2022,15B,2
Age 2-4,2022,15C,8
Age 2-4,2022,16F,4
Age 2-4,2022,17F,1
Age 2-4,2022,19A,3
Age 2-4,2022,19F,5
Age 2-4,2022,21,1
Age 2-4,2022,22F,10
Age 2-4,2022,23A,1
Age 2-4,2022,23B,5
Age 2-4,2022,3,11
Age 2-4,2022,33F,2
Age 2-4,2022,6C,1
Age 2-4,2022,7C,2
Age 2-4,2022,MISS,16
Age 5-17,2022,10A,4
Age 5-17,2022,15A,3
Age 5-17,2022,15C,7
Age 5-17,2022,16F,1
Age 5-17,2022,19A,4
Age 5-17,2022,19F,17
Age 5-17,2022,20,2
Age 5-17,2022,22F,14
Age 5-17,2022,23A,5
Age 5-17,2022,23B,7
Age 5-17,2022,23F,1
Age 5-17,2022,3,13
Age 5-17,2022,31,2
Age 5-17,2022,33F,1
Age 5-17,2022,34,5
Age 5-17,2022,35B,4
Age 5-17,2022,37,1
Age 5-17,2022,6C,6
Age 5-17,2022,7C,1
Age 5-17,2022,8,3
Age 5-17,2022,9N,3
Age 5-17,2022,MISS,22
Age 18-49,2022,1,1
Age 18-49,2022,10A,3
Age 18-49,2022,11A,17
Age 18-49,2022,12F,39
Age 18-49,2022,13,2
Age 18-49,2022,14,1
Age 18-49,2022,15A,18
Age 18-49,2022,15B,5
Age 18-49,2022,15C,3
Age 18-49,2022,16F,13
Age 18-49,2022,17F,3
Age 18-49,2022,18C,1
Age 18-49,2022,19A,17
Age 18-49,2022,19F,30
Age 18-49,2022,20,43
Age 18-49,2022,21,1
Age 18-49,2022,22F,50
Age 18-49,2022,23A,16
Age 18-49,2022,23B,22
Age 18-49,2022,28A,1
